,Year,Summer,Games,Host,NOC,Team,Names,Females,Sports,Events,Medals,Golds,Silvers,Bronzes,Athletes per Event
2515,1976,1,1976 Summer,0,MGL,Mongolia,32,2,5,29,1,0,1,0,1.103
2516,1976,1,1976 Summer,0,MON,Monaco,8,0,3,6,0,0,0,0,1.333
2517,1976,1,1976 Summer,0,NCA,Nicaragua,15,0,6,19,0,0,0,0,0.789
2518,1976,1,1976 Summer,0,NED,Netherlands,108,36,11,58,5,0,2,3,1.862
2519,1976,1,1976 Summer,0,NEP,Nepal,1,0,1,1,0,0,0,0,1.0
2520,1976,1,1976 Summer,0,NOR,Norway,66,6,11,44,2,1,1,0,1.5
2521,1976,1,1976 Summer,0,NZL,New Zealand,80,9,13,52,4,2,1,1,1.538
2522,1976,1,1976 Summer,0,PAK,Pakistan,24,0,5,9,1,0,0,1,2.667
2523,1976,1,1976 Summer,0,PAN,Panama,8,1,5,13,0,0,0,0,0.615
2524,1976,1,1976 Summer,0,PAR,Paraguay,4,0,4,6,0,0,0,0,0.667
2525,1976,1,1976 Summer,0,PER,Peru,13,13,2,3,0,0,0,0,4.333
2526,1976,1,1976 Summer,0,PHI,Philippines,14,1,6,21,0,0,0,0,0.667
2527,1976,1,1976 Summer,0,PNG,Papua New Guinea,6,0,3,8,0,0,0,0,0.75
2528,1976,1,1976 Summer,0,POL,Poland,207,27,18,116,26,7,6,13,1.784
2529,1976,1,1976 Summer,0,POR,Portugal,19,0,6,27,2,0,2,0,0.704
2530,1976,1,1976 Summer,0,PRK,North Korea,38,2,8,21,2,1,1,0,1.81
2531,1976,1,1976 Summer,0,PUR,Puerto Rico,80,7,12,74,1,0,0,1,1.081
2532,1976,1,1976 Summer,0,ROU,Romania,157,54,11,92,27,4,9,14,1.707
2533,1976,1,1976 Summer,0,SEN,Senegal,21,2,4,27,0,0,0,0,0.778
2534,1976,1,1976 Summer,0,SGP,Singapore,4,1,4,4,0,0,0,0,1.0
2535,1976,1,1976 Summer,0,SMR,San Marino,10,2,3,7,0,0,0,0,1.429
2536,1976,1,1976 Summer,0,SUI,Switzerland,50,3,12,41,4,1,1,2,1.22
2537,1976,1,1976 Summer,0,SUR,Suriname,3,0,2,4,0,0,0,0,0.75
2538,1976,1,1976 Summer,0,SWE,Sweden,116,17,16,90,5,4,1,0,1.289
2539,1976,1,1976 Summer,0,TCH,Czechoslovakia,163,38,16,79,8,2,2,4,2.063
2540,1976,1,1976 Summer,0,THA,Thailand,42,3,11,33,1,0,0,1,1.273
2541,1976,1,1976 Summer,0,TTO,Trinidad and Tobago,13,0,3,10,1,1,0,0,1.3
2542,1976,1,1976 Summer,0,TUN,Tunisia,15,1,3,5,0,0,0,0,3.0
2543,1976,1,1976 Summer,0,TUR,Turkey,27,1,8,27,0,0,0,0,1.0
2544,1976,1,1976 Summer,0,URS,Soviet Union,410,125,22,189,125,49,41,35,2.169
2545,1976,1,1976 Summer,0,URU,Uruguay,9,2,5,9,0,0,0,0,1.0
2546,1976,1,1976 Summer,0,USA,United States,396,118,19,189,94,34,35,25,2.095
2547,1976,1,1976 Summer,0,VEN,Venezuela,32,9,6,35,1,0,1,0,0.914
2548,1976,1,1976 Summer,0,YUG,Yugoslavia,88,5,14,52,8,2,3,3,1.692
2549,1976,0,1976 Winter,0,AND,Andorra,5,0,1,3,0,0,0,0,1.667
2550,1976,0,1976 Winter,0,ARG,Argentina,8,0,2,5,0,0,0,0,1.6
2551,1976,0,1976 Winter,0,AUS,Australia,8,3,3,13,0,0,0,0,0.615
2552,1976,0,1976 Winter,0,AUT,Austria,66,14,9,29,5,2,2,1,2.276
